retromer complex	2	0.049628	5	0.0252156	2.0	0.2101453	0.2101453	
signal peptidase complex	2	0.049628	5	0.0252156	2.0	0.2101453	0.2101453	
lysosome	25	0.620347	63	0.3177165	2.0	0.0000300	0.0000241	*
peroxisome	23	0.570720	59	0.2975440	1.9	0.0000826	0.0000700	*
COPII vesicle coat	5	0.124069	13	0.0655605	1.9	0.0597924	0.0597924	
coated pit	8	0.198511	21	0.1059055	1.9	0.0197878	0.0197878	*
plasma membrane	48	1.191067	128	0.6455192	1.8	0.0000001	0.0000000	*
spliceosome complex	15	0.372208	40	0.2017247	1.8	0.0024444	0.0019658	*
cytoskeleton	85	2.109181	232	1.1700035	1.8	0.0000000	0.0000000	*
actin filament/cytoskeleton	20	0.496278	55	0.2773715	1.8	0.0009386	0.0005968	*
eukaryotic translation elongation factor 1 complex	5	0.124069	14	0.0706037	1.8	0.0801296	0.0801296	
voltage-gated sodium channel complex	6	0.148883	17	0.0857330	1.7	0.0989566	0.0600746	
phosphopyruvate hydratase complex	9	0.223325	26	0.1311211	1.7	0.0333876	0.0264262	*
coated vesicle membrane	6	0.148883	18	0.0907761	1.6	0.1094439	0.0773252	
endosome	3	0.074442	9	0.0453881	1.6	0.1952772	0.1952772	
sarcoplasmic reticulum	3	0.074442	9	0.0453881	1.6	0.1952772	0.1952772	
internal side of plasma membrane	2	0.049628	6	0.0302587	1.6	0.2805341	0.2805341	
exocyst	5	0.124069	16	0.0806899	1.5	0.1772327	0.1301637	
nuclear membrane	9	0.223325	29	0.1462504	1.5	0.0799846	0.0520927	
nuclear pore	15	0.372208	49	0.2471128	1.5	0.0218622	0.0164198	*
mitochondrial membrane	6	0.148883	20	0.1008624	1.5	0.1411103	0.1191941	
chromatin silencing complex	3	0.074442	10	0.0504312	1.5	0.3930622	0.2449555	
striated muscle thick filament	3	0.074442	10	0.0504312	1.5	0.3930622	0.2449555	
kinesin complex	4	0.099256	14	0.0706037	1.4	0.2845046	0.2155287	
cytoplasmic vesicle	2	0.049628	7	0.0353018	1.4	0.3503222	0.3503222	
Golgi trans face	2	0.049628	7	0.0353018	1.4	0.3503222	0.3503222	
mitochondrial inner membrane presequence translocase complex	2	0.049628	7	0.0353018	1.4	0.3503222	0.3503222	
peroxisomal membrane	2	0.049628	7	0.0353018	1.4	0.3503222	0.3503222	
postsynaptic membrane	31	0.769231	110	0.5547431	1.4	0.0050778	0.0032957	*
basement membrane	7	0.173697	25	0.1260780	1.4	0.1822949	0.1294846	
endoplasmic reticulum membrane	7	0.173697	25	0.1260780	1.4	0.1822949	0.1294846	
endoplasmic reticulum	111	2.754342	401	2.0222906	1.4	0.0000002	0.0000002	*
F-actin capping protein complex	3	0.074442	11	0.0554743	1.3	0.4186148	0.2962627	
mitochondrial inner membrane	23	0.570720	85	0.4286651	1.3	0.0300056	0.0170225	*
ribonucleoprotein complex	24	0.595533	90	0.4538807	1.3	0.0252337	0.0179276	*
laminin-1	4	0.099256	15	0.0756468	1.3	0.3131892	0.2562098	
cAMP-dependentprotein kinasecomplex	5	0.124069	19	0.0958193	1.3	0.3571303	0.2244439	
nucleolus	5	0.124069	19	0.0958193	1.3	0.3571303	0.2244439	
integral to endoplasmic reticulum membrane	8	0.198511	32	0.1613798	1.2	0.2456183	0.1798325	
lipid raft	3	0.074442	12	0.0605174	1.2	0.4491494	0.3480745	
brushborder	2	0.049628	8	0.0403449	1.2	0.6346073	0.4175919	
signal recognition particle	2	0.049628	8	0.0403449	1.2	0.6346073	0.4175919	
small ribosomal subunit	16	0.397022	65	0.3278027	1.2	0.1384644	0.0881560	
cell surface	7	0.173697	29	0.1462504	1.2	0.3276540	0.2290826	
voltage-gated calcium channel complex	6	0.148883	27	0.1361642	1.1	0.4524121	0.3244092	
proteasome activator complex	2	0.049628	9	0.0453881	1.1	0.6603916	0.4811104	
nucleosome	27	0.669975	124	0.6253467	1.1	0.1920980	0.1215042	
myosin	140	0.7060366	140	0.7060366	1.0	0.0000000	0.0000000	*
proton-transporting two-sector ATPase complex	82	0.4135357	82	0.4135357	1.0	0.0000000	0.0000000	*
protein serine/threonine phosphatase complex	14	0.0706037	14	0.0706037	1.0	0.0000000	0.0000000	*
"proton-transporting ATP synthase complex, coupling factor F(o)"	12	0.0605174	12	0.0605174	1.0	0.0000000	0.0000000	*
"proton-transporting ATP synthase complex, catalytic core F(1)"	6	0.0302587	6	0.0302587	1.0	0.0000275	0.0000275	*
neurofilament	2	0.0100862	2	0.0100862	1.0	0.0302073	0.0302073	*
chromosome	15	0.372208	74	0.3731908	1.0	0.5378779	0.2989113	
spindle pole	3	0.074442	15	0.0756468	1.0	0.7348765	0.4979506	
ubiquitin ligase complex	4	0.099256	21	0.1059055	0.9	0.7752844	0.5085415	
tight junction	11	0.272953	61	0.3076302	0.9	0.8659051	0.4990925	
basolateral plasma membrane	2	0.049628	12	0.0605174	0.8	1.0000000	0.6436005	
microtubule associated complex	15	0.372208	100	0.5043119	0.7	0.5983713	0.7733492	
membrane	670	16.625310	4576	23.0773110	0.7	0.0000000	1.0000000	
ribosome	135	3.349876	927	4.6749710	0.7	0.0214228	0.9917677	
microtubule organizing center	2	0.049628	14	0.0706037	0.7	1.0000000	0.7277243	
apical plasma membrane	3	0.074442	22	0.1109486	0.7	1.0000000	0.7625702	
large ribosomal subunit	6	0.148883	45	0.2269403	0.7	0.5597465	0.8180850	
microsome	16	0.397022	125	0.6303898	0.6	0.1939000	0.9344574	
collagen	6	0.148883	48	0.2420697	0.6	0.4494839	0.8632986	
dynein complex	7	0.173697	59	0.2975440	0.6	0.3057377	0.9073691	
voltage-gated potassium channel complex	10	0.248139	87	0.4387513	0.6	0.1584551	0.9508839	
nucleus	347	8.610422	3216	16.2186696	0.5	0.0000000	1.0000000	
extracellular matrix	15	0.372208	143	0.7211660	0.5	0.0267600	0.9922724	
Golgi membrane	3	0.074442	31	0.1563367	0.5	0.3452605	0.9246050	
extracellular space	12	0.297767	133	0.6707348	0.4	0.0081527	0.9979445	
integrin complex	5	0.124069	57	0.2874578	0.4	0.1127314	0.9789108	
integral to membrane	399	9.900744	4587	23.1327853	0.4	0.0000000	1.0000000	
connexon complex	2	0.049628	24	0.1210348	0.4	0.4148397	0.9382173	
"chromosome,pericentricregion"	2	0.049628	27	0.1361642	0.4	0.2108155	0.9615436	
chromatin	17	0.421836	268	1.3515558	0.3	0.0000001	1.0000000	
extracellular	33	0.818859	655	3.3032427	0.2	0.0000000	1.0000000	
aminoacyl-tRNA synthetase multienzym ecomplex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
anaphase-promotingcomplex	1	0.024814	5	0.0252156	1.0	1.0000000	0.6151111	
AP-2adaptorcomplex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
autophagic vacuole	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
basalbody	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
basallamina	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
beta-galactosidasecomplex	1	0.024814	6	0.0302587	0.8	1.0000000	0.6820265	
caveola	1	0.024814	7	0.0353018	0.7	1.0000000	0.7373105	
cell junction	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
cell-cell adherens junction	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
clathrin coat ofendocytic vesicle	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
clathrin-coated endocytic vesicle	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
clathrin-coated vesicle	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
cohesincomplex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
cohesincore heterodimer	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
condensed nuclear chromosome	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
contractile ring	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
cortical actin cytoskeleton	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
costamere	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
cytosolic large ribosomal subunit (sensueukarya)	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
dense fibrillarcomponent	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
DNA replication factor A complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
DNA-directed RNA polymerase I complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
dynactin complex	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
dystrophin-associatedglycoproteincomplex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
endosome membrane	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
eukaryotic translation initiation factor 2 complex	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
eukaryotic translation initiation factor 3 complex	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
exosome (RNasecomplex)	1	0.024814	5	0.0252156	1.0	1.0000000	0.6151111	
extrinsic to endoplasmic reticulum membrane	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
fatty acid beta-oxidation multienzyme complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
flotillin complex	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
gamma-tubulin complex	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
gap junction	1	0.024814	6	0.0302587	0.8	1.0000000	0.6820265	
glycinedehydrogenasecomplex (decarboxylating)	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
Golgi cis cisterna	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
Golgi stack	1	0.024814	6	0.0302587	0.8	1.0000000	0.6820265	
Golgi vesicle membrane	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
"guanylate cyclase complex, soluble"	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
heterochromatin	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
hydrogen-translocating F-type ATPase complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
integral to nuclear inner membrane	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
integral to synaptic vesicle membrane	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
interleukin-5 receptor complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
keratin filament	1	0.024814	46	0.2319835	0.1	0.0028449	0.9998481	
lamellarbody	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
MHC class I protein complex	1	0.024814	141	0.7110797	0.0	0.0000000	1.0000000	
microvillus	1	0.024814	7	0.0353018	0.7	1.0000000	0.7373105	
mitochondrial outer membrane translocase complex	1	0.024814	6	0.0302587	0.8	1.0000000	0.6820265	
NLS-dependent protein nuclear import complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
nuclear chromatin	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
nuclear envelope-endoplasmic reticulum network	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
nuclear speck	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
nuclear ubiquitin ligase complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
nucleoplasm	1	0.024814	7	0.0353018	0.7	1.0000000	0.7373105	
outer dense fiber	1	0.024814	4	0.0201725	1.2	0.5341179	0.5341179	
outer membrane (sensu Gram-negative Bacteria)	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
paraspeckles	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
periplasmic space (sensu Gram-negative Bacteria)	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
peroxisomal matrix	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
phosphoinositide 3-kinase complex	1	0.024814	27	0.1361642	0.2	0.0721477	0.9942500	
phosphoribosylaminoimidazole carboxylase complex	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
basal plasma membrane	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
polar microtubule	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
prefoldin complex	1	0.024814	4	0.0201725	1.2	0.5341179	0.5341179	
proteasome regulatory particle (sensu Eukarya)	1	0.024814	3	0.0151294	1.6	0.4360861	0.4360861	
proton-transporting ATP synthase complex (sensu Eukarya)	1	0.0050431	1	0.0050431	1.0	0.1738198	0.1738198	
pyruvate dehydrogenase complex	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
pyruvate dehydrogenase complex (sensu Eukarya)	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
ribonucleoside-diphosphate reductase complex	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
rough endoplasmic reticulum membrane	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
secretorygranulemembrane	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
signal recognition particle receptor complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
small nucleolar ribonucleoprotein complex	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
spindle pole body	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
striated muscle thin filament	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
TCA cycle enzyme complex	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
transcription factor complex	1	0.024814	34	0.1714660	0.1	0.0217028	0.9984921	
transcription factor TFIIE complex	1	0.024814	4	0.0201725	1.2	0.5341179	0.5341179	
trans-Golgi network transport vesicle	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
translocon	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
transport vesicle	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
type III intermediate filament	1	0.024814	2	0.0100862	2.5	0.3174324	0.3174324	
ubiquinol-cytochrome-c reductase complex	1	0.024814	4	0.0201725	1.2	0.5341179	0.5341179	
unconventional myosin	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
vesicle membrane	1	0.024814	4	0.0201725	1.2	0.5341179	0.5341179	
viral capsid	1	0.024814	29	0.1462504	0.2	0.0481813	0.9960771	
Z disc	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
zymogen granule	1	0.024814	1	0.0050431	4.9	0.1738198	0.1738198	
